taxid	species
488447	Burkholderia contaminans
492670	Bacillus velezensis
502567	Streptococcus porci
511	Alcaligenes faecalis
511435	Candidatus Azobacteroides pseudotrichonymphae
512650	Vibrio sagamiensis
51367	Salinivibrio costicola
51669	Tetragenococcus halophilus
518	Bordetella bronchiseptica
519450	Mycoplasma anserisalpingitidis
521	Bordetella avium
52258	Streptomyces flavovirens
529	Brucella anthropi
538381	Stappia indica
54291	Raoultella ornithinolytica
543360	Pseudomonas cuatrocienegasensis
545	Citrobacter koseri
54571	Streptomyces venezuelae
546	Citrobacter freundii
546367	Hafnia paralvei
548	Klebsiella aerogenes
549	Pantoea agglomerans
550	Enterobacter cloacae
55085	Streptococcus thoraltensis
552	Erwinia amylovora
55208	Pectobacterium wasabiae
55211	Erwinia persicina
55212	Erwinia rhapontici
553239	Vibrio breoganii
554	Pectobacterium carotovorum
556	Dickeya chrysanthemi
55601	Vibrio anguillarum
562	Escherichia coli
564	Escherichia fergusonii
56448	Xanthomonas arboricola
56460	Xanthomonas vesicatoria
56730	Rhizobium gallicum
569	Hafnia alvei
571	Klebsiella oxytoca
573	Klebsiella pneumoniae
575	Raoultella planticola
57706	Citrobacter braakii
57975	Burkholderia thailandensis
580	Kluyvera cryocrescens
582	Morganella morganii
58346	Streptomyces platensis
584	Proteus mirabilis
585	Proteus vulgaris
587	Providencia rettgeri
587753	Pseudomonas chlororaphis
588	Providencia stuartii
59310	Streptococcus macedonicus
59779	Paracoccus marcusii
59814	Pantoea dispersa
59843	Paenibacillus glucanolyticus
60550	Burkholderia pyrrocinia
614	Serratia liquefaciens
615	Serratia marcescens
61645	Enterobacter asburiae
61652	Serratia rubidaea
621	Shigella boydii
622	Shigella dysenteriae
623	Shigella flexneri
62322	Shewanella baltica
624	Shigella sonnei
630	Yersinia enterocolitica
631	Yersinia intermedia
632	Yersinia pestis
633	Yersinia pseudotuberculosis
634	Yersinia bercovieri
636	Edwardsiella tarda
63612	Sodalis glossinidius
644	Aeromonas hydrophila
645	Aeromonas salmonicida
64713	Halorubrum coriense
648	Aeromonas caviae
651	Aeromonas media
652	Aeromonas schubertii
654	Aeromonas veronii
65700	Erwinia tracheiphila
661398	Microbacterium radiodurans
663	Vibrio alginolyticus
665099	Cytobacillus oceanisediminis
666	Vibrio cholerae
668	Aliivibrio fischeri
66874	Streptomyces bicolor
669	Vibrio harveyi
670	Vibrio parahaemolyticus
672	Vibrio vulnificus
67369	Streptomyces toxytricini
67384	Streptomyces xanthochromogenes
67780	Edwardsiella ictaluri
67825	Citrobacter rodentium
680	Vibrio campbellii
68239	Streptomyces mirabilis
68277	Streptomyces tricolor
68892	Streptococcus infantis
689	Vibrio mediterranei
691	Vibrio natriegens
69218	Enterobacter cancerogenus
69369	Microbacterium terrae
696485	Vibrio owensii
70347	Acinetobacter higginsii
70775	Pseudomonas plecoglossicida
70799	Nodularia spumigena
70856	Aeromonas popoffii
70863	Shewanella oneidensis
714	Aggregatibacter actinomycetemcomitans
72174	Citromicrobium bathyomarinum
727	Haemophilus influenzae
738	Glaesserella parasuis
747	Pasteurella multocida
759620	Weissella ceti
75985	Mannheimia haemolytica
76258	Vibrio rumoiensis
76594	Cellulophaga baltica
768528	Shewanella indica
76860	Streptococcus constellatus
77022	Cylindrospermopsis raciborskii
77097	Vreelandella aquamarina
77608	Pseudoalteromonas distincta
78398	Pectobacterium odoriferum
79882	Sutcliffiella halmapala
79885	Alkalihalophilus pseudofirmus
79967	Erwinia pyrifoliae
80866	Delftia acidovorans
80868	Paracidovorax cattleyae
80869	Paracidovorax citrulli
817	Bacteroides fragilis
818	Bacteroides thetaiotaomicron
820	Bacteroides uniformis
821	Phocaeicola vulgatus
823	Parabacteroides distasonis
82380	Microbacterium oxydans
83554	Chlamydia psittaci
83555	Chlamydia abortus
83655	Leclercia adecarboxylata
84096	Gordonia alkanivorans
84112	Eggerthella lenta
851	Fusobacterium nucleatum
853	Faecalibacterium prausnitzii
85698	Achromobacter xylosoxidans
862720	Paracidovorax oryzae
876	Desulfovibrio desulfuricans
87883	Burkholderia multivorans
88688	Caulobacter segnis
89053	Gordonia amicalis
915352	Tenacibaculum geojense
94138	Staphylococcus ureilyticus
945692	Gordonia neofelifaecis
94625	Brucella intermedia
948519	Aeromonas rivipollensis
95486	Burkholderia cenocepacia
959	Bdellovibrio bacteriovorus
96345	Flavobacterium psychrophilum
990271	Vibrio variabilis
996	Flavobacterium columnare
